Annees,Line1entrees,Line1percent,Line2entrees,Line2percent,Line3entrees,Line3percent,Line4entrees,Line4percent,Line5entrees,Line5percent,Line6entrees,Line6percent,Line7entrees,Line7percent,Line8entrees,Line8percent
1968,26265.0,0.9657670245624357,15931.0,0.9266519311307585,12760.0,0.9420450350682908,6453.0,0.8906832298136645,5814.0,0.15389502104343683,8284.0,0.26383005828211087,3357.0,0.23577749683944374,3531.0,0.28137700215156586
1969,26286.0,0.9665391969407265,15953.0,0.9279315960912052,12772.0,0.9429309708379476,6455.0,0.8909592822636301,5962.0,0.15781254135895603,8410.0,0.2678429249339151,3430.0,0.24090462143559488,3799.0,0.3027332855207586
1970,26329.0,0.9681203118105604,15968.0,0.9288040949278734,12778.0,0.943373938722776,6460.0,0.8916494133885439,7208.0,0.19079382725852986,8505.0,0.27086849899678334,3568.0,0.2505969939598258,3950.0,0.3147661168220575
1971,26339.0,0.9684880129430798,16133.0,0.9384015821312238,12781.0,0.9435954226651901,6464.0,0.8922015182884748,7346.0,0.19444665025543292,8559.0,0.2725882989904137,3653.0,0.256566933558084,4003.0,0.31898956092118896
1972,26372.0,0.9697014266803942,16150.0,0.9393904141461145,12807.0,0.945514950166113,6469.0,0.8928916494133885,7899.0,0.20908441197490668,8733.0,0.27812987674766715,3712.0,0.2607107739851103,4140.0,0.3299067654793211
1973,26372.0,0.9697014266803942,16178.0,0.9410190786412285,12809.0,0.9456626061277225,6475.0,0.893719806763285,8177.0,0.216442997432436,9110.0,0.2901366285550495,3868.0,0.27166736901250177,4176.0,0.3327755199617499
1974,26374.0,0.9697749669068981,16188.0,0.9416007445323407,12811.0,0.9458102620893318,6484.0,0.8949620427881297,8611.0,0.22793086106037747,9607.0,0.30596515812605496,3899.0,0.27384464110127826,4464.0,0.355725555821181
1975,26405.0,0.9709148404177085,16196.0,0.9420660772452304,12812.0,0.9458840900701366,6484.0,0.8949620427881297,9064.0,0.2399216495936896,10161.0,0.32360903213478137,3975.0,0.27918246944795616,4652.0,0.37070682922942066
1976,26416.0,0.97131931166348,16221.0,0.9435202419730107,12817.0,0.9462532299741602,6491.0,0.895928226363009,9345.0,0.2473596442468038,10781.0,0.34335488391350044,4114.0,0.288945076555696,4749.0,0.37843652880707623
1977,26421.0,0.9715031622297396,16258.0,0.9456724057701257,12842.0,0.9480989294942783,6540.0,0.9026915113871635,9670.0,0.25596230710182905,11550.0,0.3678461097487181,4190.0,0.2942829049023739,4931.0,0.39293967646824446
1978,26422.0,0.9715399323429916,16292.0,0.947650069799907,12849.0,0.9486157253599115,6549.0,0.9039337474120083,9957.0,0.26355912014611294,12455.0,0.3966686837160419,4391.0,0.3084000561876668,4978.0,0.3966849948203044
1979,26430.0,0.9718340932490072,16318.0,0.9491624011167985,12853.0,0.9489110372831303,6560.0,0.9054520358868184,10197.0,0.26991185579290083,13410.0,0.42708366508487533,5434.0,0.38165472678747014,6802.0,0.5420352219300343
1980,26438.0,0.9721282541550228,16358.0,0.951489064681247,12857.0,0.9492063492063492,6570.0,0.906832298136646,10335.0,0.27356467878980384,13938.0,0.4438994872448167,5596.0,0.39303272931591515,7026.0,0.5598852498207029
1981,26444.0,0.9723488748345345,16389.0,0.9532922289436947,12866.0,0.9498708010335918,6590.0,0.9095928226363009,10924.0,0.28915535085629585,14366.0,0.4575304946017389,5787.0,0.40644753476611883,7178.0,0.5719977687465136
1982,26456.0,0.9727901161935579,16406.0,0.9542810609585853,12869.0,0.950092284976006,6609.0,0.9122153209109731,11374.0,0.30106673019402314,14781.0,0.4707474760342686,6300.0,0.4424778761061947,7265.0,0.5789305920790502
1983,26459.0,0.9729004265333138,16436.0,0.9560260586319218,12878.0,0.9507567368032485,6613.0,0.9127674258109041,11815.0,0.3127398819449959,15076.0,0.48014267970317526,6674.0,0.4687456103385307,7446.0,0.5933540521157065
1984,26464.0,0.9730842770995735,16455.0,0.9571312238250349,12906.0,0.9528239202657808,6621.0,0.913871635610766,12185.0,0.3225336827337939,15407.0,0.4906844167011688,7259.0,0.5098328416912488,7573.0,0.6034743804287194
1985,26504.0,0.9745550816296514,16483.0,0.9587598883201489,12915.0,0.9534883720930233,6627.0,0.9146997929606625,12562.0,0.3325127716456232,15736.0,0.5011624574031021,7760.0,0.5450203680292176,7640.0,0.6088134512710176
1986,26514.0,0.9749227827621709,16516.0,0.960679385760819,12919.0,0.9537836840162421,6653.0,0.9182884748102139,12995.0,0.34397416554170307,16075.0,0.5119589795853371,8073.0,0.5670037926675094,8488.0,0.6763885568571201
1987,26523.0,0.9752537137814384,16528.0,0.9613773848301536,12924.0,0.9541528239202658,6665.0,0.9199447895100069,13807.0,0.36546758781333544,16293.0,0.518901875855919,8324.0,0.5846326731282484,8585.0,0.6841182564347756
1988,26534.0,0.9756581850272099,16540.0,0.9620753838994881,12936.0,0.9550387596899225,6670.0,0.9206349206349206,14010.0,0.37084094338124357,16447.0,0.5238064906525686,8610.0,0.6047197640117994,8958.0,0.7138417403777193
1989,26551.0,0.9762832769524931,16606.0,0.9659143787808283,12944.0,0.9556293835363603,6678.0,0.9217391304347826,14107.0,0.3734085073718203,16685.0,0.5313863498837542,8767.0,0.6157465936226998,9045.0,0.7207745637102558
1990,26558.0,0.9765406677452566,16610.0,0.9661470451372731,12950.0,0.9560723514211886,6688.0,0.9231193926846101,14246.0,0.37708780010058496,16784.0,0.5345393165387433,9054.0,0.6359039190897599,9145.0,0.7287433261614471
